Source,Year,sex,length_cm,latitude,longitude,Month,Day,
M17/90,1990,U,NA,58.79436874,-2.920483351,04,10,
M18/90,1990,F,156,57.39171982,-6.039045334,05,13,
M22/90,1990,M,151,60.52709579,-0.610899866,06,07,
M23/90,1990,M,125,60.30149078,-1.356991172,07,01,
M27/90,1990,M,137,56.1280632,-3.11611414,07,19,
M30/90,1990,M,143,60.27845383,-1.159211278,08,01,
M32/90,1990,F,146,57.25284958,-2.034775257,08,14,
M34/90,1990,F,146,56.78693771,-2.348598003,09,03,
M36/90,1990,U,NA,57.59463882,-3.846152067,09,14,
M38/90,1990,U,NA,58.95122147,-2.835994959,10,21,
M5/91,1991,U,NA,58.96274567,-2.984081507,03,01,
M6/91,1991,M,143,56.0006752,-4.851265907,03,20,
M7/91,1991,U,100,58.91513824,-2.986190796,04,27,
M1068/91,1991,F,161,57.58892822,-3.891863108,06,04,
M9/91,1991,U,NA,56.7060585,-2.487495184,06,10,
M11/91,1991,U,NA,56.33847427,-2.778008699,06,15,
M12/91,1991,U,76,56.90623856,-5.844896317,06,16,
M14/91,1991,M,60,54.87192535,-3.608197689,08,12,
M2051/91,1991,M,148,57.681787,-4.0392614,10,09,
M21/91,1991,F,153,56.01879883,-2.883867502,11,09,
M1900/92,1992,M,106,56.36582565,-6.148480415,02,27,
M435/92,1992,U,135,56.04719162,-3.555597544,02,28,
M853/92,1992,U,NA,56.42583466,-5.484859467,03,19,
M674/92,1992,F,155,57.15571594,-2.077649832,04,01,
M734/92,1992,U,NA,56.74354935,-2.433217525,04,08,
M1054/92,1992,U,146,57.82389069,-3.860388279,05,17,
M1111/92,1992,F,146,57.66175079,-3.558721542,05,25,
M1115/92,1992,F,130,57.74755096,-3.918628693,05,25,
M1244/92,1992,U,NA,57.66997528,-2.348642826,06,04,
M1712/92,1992,F,74,57.66856766,-3.51541543,06,04,
M1243/92,1992,U,118,57.7021904,-3.231556892,06,07,
M1293/92,1992,U,NA,58.27242279,-6.280631542,06,07,
M1232/92,1992,F,148,56.36973953,-2.806174755,06,08,
M1256/92,1992,F,78,55.55281448,-4.660151958,06,08,
M1224/92,1992,F,119,57.68175125,-3.99063158,06,08,
M1246/92,1992,F,72,57.76498413,-3.894335508,06,09,
M1225/92,1992,F,88.5,55.98010254,-3.29647851,06,09,
M1348/92,1992,M,91,57.69777679,-2.902562618,06,20,
M1349/92,1992,M,80,57.70138168,-2.900973082,06,21,
M1362/92,1992,M,150,58.96633148,-3.291991472,06,22,
M1388/92,1992,U,105,56.78872681,-2.350255489,06,24,
M1405/92,1992,F,123,57.69727707,-2.845503092,06,25,
M1504/92,1992,F,163,57.59080124,-3.886945009,07,05,
M1520/92,1992,U,105,56.73544312,-2.438022614,07,06,
M1521/92,1992,U,105,56.7282486,-2.439570427,07,06,
M1522/92,1992,U,105,56.71565247,-2.44596076,07,06,
M1525/92,1992,U,110,56.70395279,-2.452366114,07,06,
M1510/92,1992,M,141,58.20825958,-6.395572186,07,06,
M1581/92,1992,U,150,56.69321442,-2.439176083,07,08,
M1559/92,1992,F,73,57.71855545,-3.386562824,07,09,
M1/92,1992,U,NA,57.67196655,-2.344979525,07,11,
M1708/92,1992,M,85,59.89870834,-1.33148253,07,24,
M1658/92,1992,M,143,60.10803223,-1.570067525,07,24,
M1738/92,1992,F,118,57.59106827,-3.868556023,08,05,
M1812/92,1992,M,106,57.67494202,-1.968106866,08,11,
M1814/92,1992,F,120,57.5897789,-3.953813076,08,11,
M1970/92,1992,F,158,54.86962891,-3.645515203,08,30,
M2030/92,1992,F,121,57.66300201,-3.602365017,09,06,
M2195/92,1992,F,122,57.67107773,-2.544809341,09,22,
M2212/92,1992,M,159,57.67211533,-2.186050892,09,23,
M2267/92,1992,F,136,57.72118759,-3.307745457,09,29,
M2337/92,1992,M,107,57.7254715,-3.32805419,10,07,
M2476/92,1992,U,NA,57.69776917,-2.904243231,10,14,
M2547/92,1992,M,124,56.61849213,-2.482301235,11,03,
M2587/92,1992,U,156,57.68148804,-3.140289545,11,08,
M2630/92,1992,M,116,57.6840744,-3.495938301,11,13,
M2637/92,1992,M,152,58.59547424,-3.369486809,11,15,
M2651/92,1992,M,151,60.20959473,-1.370279431,11,17,
M2679/92,1992,M,133,57.72629166,-5.689774036,11,22,
M2763/92,1992,M,128,58.99446106,-2.946700335,12,05,
M2858/92,1992,M,148,54.85500336,-3.789792299,12,18,
M42/93,1993,M,115,57.38355637,-6.074783325,01,06,
M279/93,1993,U,127,57.30316925,-7.395502567,01,17,
M105/93,1993,F,154,56.57896042,-6.281003475,01,18,
M136/93,1993,F,110.5,59.87080002,-1.315969467,01,23,
M185/93,1993,M,130,59.87883759,-1.308650732,01,25,
M270/93,1993,F,168,55.64271927,-4.820406914,02,07,
M359/93,1993,U,NA,54.77595901,-4.364738941,02,15,
M440/93,1993,M,133,56.06040955,-2.70014143,02,27,
M491/93,1993,M,146,57.20513153,-2.062868595,03,05,
M492/93,1993,U,135,56.06040955,-2.70014143,03,07,
M517/93,1993,M,157,57.50398636,-4.299777031,03,09,
M652/93,1993,U,110,57.66642761,-3.010746717,03,26,
M752/93,1993,M,102,58.03357315,-3.835688829,04,08,
M791/93,1993,U,NA,57.13956451,-2.044582605,04,14,
M831/93,1993,U,150,57.40987778,-1.858489633,04,19,
M843/93,1993,F,145,57.7254715,-3.32805419,04,20,
M822/93,1993,F,110,58.89968109,-2.888560057,04,21,
M879/93,1993,U,90,58.89968109,-2.888560057,04,21,
M906/93,1993,M,121,57.67744827,-2.979185104,04,28,
M930/93,1993,F,121,57.66460419,-3.617511272,04,30,
M1063/93,1993,F,141,59.53703308,-1.603888512,05,16,
M1089/93,1993,M,127,57.74845123,-3.918684959,05,19,
M1106/93,1993,M,97,55.76209641,-6.363193989,05,21,
M1116/93,1993,M,148,57.66276932,-3.620789289,05,22,
M1204/93,1993,M,152,57.63835907,-5.804899693,05,31,
M1190/93,1993,M,76,58.50348663,-3.130787849,05,31,
M1227/93,1993,F,141,57.88892746,-4.013887405,06,03,
M1257/93,1993,U,159,56.2125206,-2.93184948,06,04,
M1255/93,1993,U,NA,56.2125206,-2.93184948,06,04,
M1245/93,1993,U,80,58.26197433,-6.323728085,06,04,
M1237/93,1993,F,160,56.7253418,-5.247639179,06,04,
M1248/93,1993,M,82,57.66458511,-3.619190931,06,06,
M1256/93,1993,U,87,56.2125206,-2.93184948,06,06,
M1263/93,1993,F,156,60.4859581,-1.545060039,06,08,
M1296/93,1993,M,156,57.2114296,-2.044664383,06,10,
M1319/93,1993,M,74,56.33575058,-2.781183958,06,11,
M1344/93,1993,U,90,57.69402313,-4.009770393,06,13,
M1347/93,1993,U,140,57.71795654,-3.272378445,06,14,
M1325/93,1993,M,124,57.68031311,-2.957461119,06,14,
M1346/93,1993,F,120,57.71878815,-3.279129744,06,14,
M1399/93,1993,U,NA,58.50348663,-3.130787849,06,18,
M1400/93,1993,U,NA,58.50348663,-3.130787849,06,18,
M1369/93,1993,F,124,58.02545166,-3.8386724,06,18,
M1404/93,1993,U,140,57.92238617,-4.000564098,06,19,
M1411/93,1993,M,82.5,59.52267838,-1.607600331,06,21,
M1482/93,1993,F,74,57.98932648,-3.655817509,06,30,
M1564/93,1993,U,150,56.05877304,-2.671200037,07,02,
M1559/93,1993,M,162,57.68082428,-2.325282812,07,07,
M1592/93,1993,M,137,57.7264061,-3.324731588,07,12,
M1646/93,1993,U,120,57.6913414,-3.489532471,07,18,
M1653/93,1993,F,156,57.71054077,-2.29534173,07,20,
M1730/93,1993,U,100,55.97621155,-2.450233221,07,23,
M1848/93,1993,U,75,58.61545944,-3.347876787,08,15,
M1847/93,1993,F,100,58.61634445,-3.349627733,08,15,
M1916/93,1993,F,81,54.91384125,-3.564623117,08,18,
M2053/93,1993,F,110,57.57667542,-4.098621368,09,05,
M2049/93,1993,F,166,56.33934021,-2.78288126,09,06,
M2142/93,1993,U,150,59.23954391,-2.830783606,09,11,
M2189/93,1993,F,173,58.87255478,-2.91387558,09,20,
M2204/93,1993,F,132,57.69370651,-3.972828388,09,21,
M2251/93,1993,M,152,57.71533585,-3.43343997,09,27,
M2306/93,1993,F,102,57.75298691,-3.915566444,10,01,
M2316/93,1993,U,120,56.77010345,-2.406512976,10,02,
M2359/93,1993,F,150,57.97417831,-3.962856293,10,08,
M2378/93,1993,U,140,55.57734299,-5.142621517,10,10,
M2380/93,1993,M,142,57.89080048,-4.008934975,10,12,
M2381/93,1993,M,137,57.59012222,-3.87185359,10,12,
M2558/93,1993,M,151,58.19206238,-6.369727135,11,03,
M2627/93,1993,M,107,57.61042023,-7.1057477,11,14,
M2626/93,1993,F,85,57.21098709,-7.425130367,11,14,
M2648/93,1993,M,120,57.69838715,-4.073781013,11,18,
M1/93,1993,U,NA,58.94126511,-3.087733984,12,29,
M39/94,1994,F,160,57.58790207,-3.900188208,01,07,
M83/94,1994,F,140,57.67716599,-3.12170887,01,14,
M84/94,1994,U,140,57.64305496,-4.050509453,01,17,
M85/94,1994,M,140,56.55151367,-2.595305443,01,17,
M449/94,1994,U,NA,58.46306229,-5.05659008,01,28,
M228/94,1994,U,160,60.47046661,-1.481632471,02,03,
M365/94,1994,U,NA,57.3021698,-1.993330359,02,05,
M665/94,1994,U,120,57.26174545,-2.028148413,02,05,
M232/94,1994,F,120,57.70739746,-4.126329422,02,05,
M254/94,1994,F,150,57.69164658,-3.989506483,02,06,
M237/94,1994,F,119,57.6975975,-3.491466522,02,07,
M266/94,1994,M,130,57.75027084,-3.917097569,02,08,
M291/94,1994,M,138,58.89968109,-2.888560057,02,11,
M364/94,1994,F,112,55.99900436,-2.88662529,02,18,
M392/94,1994,F,101,57.66144562,-1.911134362,02,23,
M430/94,1994,M,138,56.00434113,-3.533029795,02,25,
M429/94,1994,M,130,57.3111496,-1.994980335,03,01,
M487/94,1994,M,138,57.75301361,-3.913882256,03,07,
M488/94,1994,U,120,57.94123077,-4.001615047,03,08,
M623/94,1994,U,130,58.19616699,-6.354887962,03,23,
M764/94,1994,U,107,57.36555099,-7.409674644,03,26,
M958/94,1994,M,140,60.1841507,-1.511393905,03,30,
M653/94,1994,F,112,57.5790329,-4.118830681,03,31,
M678/94,1994,F,129,57.70394135,-3.486692905,04,02,
M796/94,1994,U,100,56.00107574,-3.351697922,04,18,
M809/94,1994,U,110,55.5797081,-4.663549423,04,20,
M844/94,1994,M,106,57.56142426,-4.042571545,04,23,
M2715/94,1994,U,146,58.87251282,-2.920808077,04,26,
M948/94,1994,U,100,57.6569519,-4.024481773,05,04,
M1005/94,1994,U,150,57.71178818,-3.260408878,05,13,
M1034/94,1994,M,77,57.69381714,-2.825300932,05,17,
M1102/94,1994,M,82,58.59947586,-4.020167351,05,26,
M1111/94,1994,U,100,54.90884781,-5.020053387,05,27,
M1122/94,1994,U,100,54.92492294,-5.060287952,05,28,
M1115/94,1994,U,120,57.50981903,-4.225011826,05,30,
M1125/94,1994,U,80,58.68122101,-3.493579149,05,30,
M1215/94,1994,U,NA,57.14314651,-2.071026802,06,04,
M1239/94,1994,U,NA,56.05183792,-3.681040764,06,06,
M1167/94,1994,F,75,57.67372894,-2.995849609,06,07,
M1241/94,1994,U,65,60.43890381,-1.449419618,06,17,
M1267/94,1994,F,77,57.43816757,-7.395380974,06,21,
M1301/94,1994,U,100,57.6173172,-4.085901737,06,27,
M1318/94,1994,F,78.7,56.2096405,-2.955966949,06,28,
M1349/94,1994,M,138,55.98523331,-4.896630287,07,01,
M1428/94,1994,U,60,57.02881241,-7.454589844,07,13,
M1646/94,1994,U,NA,57.89450836,-7.048509121,07,14,
M1541/94,1994,F,154,57.57401657,-4.096797466,07,28,
M1641/94,1994,M,142,57.5412941,-7.40396452,07,29,
M1661/94,1994,F,147,55.96112442,-2.395606041,08,11,
M1719/94,1994,F,135,60.50130081,-1.56852591,08,21,
M1710/94,1994,M,118,57.67742157,-3.980342627,08,22,
M1873/94,1994,U,NA,55.95394897,-3.122618675,08,27,
M1864/94,1994,U,167,57.17879868,-7.420396328,09,02,
M1836/94,1994,M,102,57.58901978,-4.112714291,09,02,
M1951/94,1994,F,148,56.51966095,-6.88779068,09,16,
M1952/94,1994,F,150,57.76318741,-3.894240856,09,17,
M1987/94,1994,F,104,57.69220352,-4.011334419,09,21,
M2060/94,1994,M,122,57.75027084,-3.917097569,09,29,
M2179/94,1994,M,130,57.57392502,-4.101807594,10,14,
M2250/94,1994,M,122,57.70739746,-4.126329422,10,23,
M2297/94,1994,F,110,56.97459793,-7.520817757,10,28,
M2294/94,1994,M,142,56.83203888,-2.273630381,10,28,
M2494/94,1994,M,160,57.23957062,-7.450910091,11,16,
M2545/94,1994,F,121,56.34728241,-2.805688858,12,01,
M2553/94,1994,M,111,55.75165176,-4.928692341,12,03,
M2586/94,1994,U,120,57.7505188,-3.900310755,12,06,
M2587/94,1994,M,104,57.69313812,-3.489607096,12,09,
M204/95,1995,F,100,55.98543549,-2.899141073,01,23,
M170/95,1995,F,125,57.23828125,-7.439105511,01,26,
M435/95,1995,U,NA,56.84156418,-6.255196571,02,13,
M349/95,1995,F,114,54.92142487,-3.60392642,02,25,
M438/95,1995,F,161,60.09925079,-1.221333504,03,09,
M446/95,1995,F,147,59.92004776,-1.28991425,03,13,
M529/95,1995,F,163,58.85549545,-2.913431406,03,21,
M584/95,1995,F,170,55.48608017,-4.628726959,03,29,
M750/95,1995,M,148,58.20898438,-6.295135975,04,22,
M752/95,1995,M,123,57.69378281,-2.830325603,04,23,
M765/95,1995,M,111,57.6931076,-2.927598953,04,25,
M811/95,1995,M,129,57.60224533,-4.018091202,05,03,
M872/95,1995,U,100,56.11333084,-4.838675499,05,10,
M887/95,1995,M,110,57.68284988,-4.034310818,05,11,
M1103/95,1995,M,78,57.27251816,-2.021517992,06,10,
M1158/95,1995,U,75,56.05912399,-2.713503361,06,12,
M1147/95,1995,M,88,55.9727211,-2.42136097,06,17,
M1748/95,1995,U,NA,57.18716431,-2.07275486,06,23,
M1190/95,1995,F,148,57.92696381,-5.220355034,06,23,
M1749/95,1995,U,NA,57.40629196,-1.861819386,06,29,
M1579/95,1995,M,136,55.91405487,-2.145541668,07,03,
M1220/95,1995,F,132,57.68678665,-2.93248415,07,03,
M1303/95,1995,F,124,57.57409668,-4.091786861,07,13,
M2111/95,1995,U,NA,57.82663345,-2.506737232,07,26,
M1546/95,1995,U,100,57.24915695,-2.041396379,08,14,
M1575/95,1995,F,119,57.49028397,-4.262198448,08,15,
M1679/95,1995,M,104,57.70399475,-3.030242443,08,24,
M1744/95,1995,M,152,57.15930939,-2.077659607,09,04,
M2113/95,1995,U,NA,58.03081894,-5.507584572,09,14,
M2581/95,1995,U,170,58.21002197,-7.051948071,09,16,
M2000/95,1995,M,138,57.7385025,-3.923197508,10,04,
M2016/95,1995,F,104,57.75304031,-3.912198305,10,06,
M2583/95,1995,U,NA,57.52207947,-7.668395996,10,14,
M2283/95,1995,U,150,57.35413742,-7.402990341,10,28,
M2582/95,1995,U,80,57.80866623,-7.098398209,10,31,
M2335/95,1995,M,152,58.8013649,-3.166418314,11,17,
M2461/95,1995,F,131,58.02455139,-3.838617325,12,06,
M2516/95,1995,M,153,57.20602798,-2.062862396,12,18,
M2580/95,1995,U,NA,56.84282303,-2.273716688,12,20,
M2578/95,1995,M,102,56.00781631,-3.392028809,12,21,
M2548/95,1995,F,139,57.60085297,-4.10336256,12,22,
M2566/95,1995,U,150,57.75396347,-3.910571098,12,25,
M62/96,1996,U,100,56.03873444,-2.858645439,01,03,
M10/96,1996,F,130,57.15661621,-2.077660322,01,04,
M37/96,1996,U,130,57.17189407,-2.076037169,01,09,
M63/96,1996,M,106,57.56886673,-7.453290939,01,10,
M82/96,1996,U,140,56.73815536,-2.434789181,01,15,
M83/96,1996,U,120,56.72166443,-2.516302824,01,15,
M75/96,1996,M,150,56.20286179,-2.768814802,01,16,
M146/96,1996,M,109,57.168293,-2.077683926,01,28,
M225/96,1996,F,110,60.22547913,-1.314017415,02,12,
M271/96,1996,U,80,57.13866425,-2.046227932,02,19,
M284/96,1996,M,157,58.90686417,-3.310605764,02,22,
M274/96,1996,U,100,57.66447067,-3.029117584,02,22,
M1298/96,1996,M,120,56.10596085,-3.794349194,03,01,
M359/96,1996,F,150,56.19494247,-2.878250599,03,01,
M381/96,1996,U,100,54.91013336,-5.004554272,03,09,
M398/96,1996,M,133,57.82071304,-3.831590891,03,14,
M400/96,1996,F,119,57.72756958,-3.93269825,03,15,
M432/96,1996,U,140,57.96208954,-3.989252329,03,19,
M440/96,1996,F,129,57.68135834,-3.497514248,03,20,
M444/96,1996,M,107,57.7622757,-3.895885944,03,20,
M463/96,1996,M,125,57.16559982,-2.077684879,03,22,
M573/96,1996,U,150,57.21232605,-2.059568405,03,31,
M515/96,1996,F,126,57.72197342,-3.319527626,03,31,
M529/96,1996,M,140,60.22369385,-1.315845966,04,01,
M600/96,1996,M,139,57.36898804,-7.413516521,04,01,
M669/96,1996,U,117,60.7028389,-0.869695961,04,10,
M619/96,1996,M,114,57.26533508,-2.026492596,04,12,
M748/96,1996,U,120,58.59380722,-3.071759939,04,25,
M738/96,1996,U,110,55.91933823,-4.946127415,04,29,
M760/96,1996,M,119,57.72332001,-3.361563444,05,02,
M770/96,1996,F,118,57.24556351,-2.041389942,05,03,
M772/96,1996,M,145,57.70987701,-3.439933538,05,03,
M775/96,1996,M,110,57.69322968,-4.003004551,05,06,
M788/96,1996,M,123,57.72464752,-3.321300983,05,07,
M787/96,1996,M,109,57.25095367,-2.038078785,05,07,
M826/96,1996,U,100,57.68769073,-2.930818796,05,14,
M1315/96,1996,U,120,56.52245331,-6.953262806,05,14,
M846/96,1996,M,149,57.66640854,-3.01240921,05,16,
M866/96,1996,M,122,57.25095367,-2.038078785,05,21,
M897/96,1996,U,NA,57.69201279,-4.023084641,05,22,
M886/96,1996,M,114,57.20243835,-2.062853813,05,23,
M2370/96,1996,U,100,58.9138298,-2.783013344,06,01,
M973/96,1996,F,120,57.47761536,-7.37782383,06,01,
M2516/96,1996,U,138,60.22742462,-1.563086629,06,01,
M974/96,1996,M,145,57.37331772,-7.417485237,06,03,
